1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2.True,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,2.True,1.Very true,1.Very true,1.Very true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,3.Neither
4.Not true,4.Not true,4.Not true,4.Not true,4.Not true,1.Very true,3.Neither,4.Not true,4.Not true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,4.Not true,4.Not true,4.Not true,3.Neither,4.Not true,3.Neither,4.Not true,3.Neither,2.True,2.True,3.Neither,3.Neither,2.True,4.Not true,3.Neither,3.Neither,3.Neither,3.Neither,4.Not true,2.True,3.Neither,4.Not true,3.Neither,3.Neither,4.Not true,3.Neither,3.Neither,3.Neither,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,3.Neither,3.Neither,3.Neither,4.Not true,4.Not true,4.Not true,4.Not true,4.Not true
3.Neither,3.Neither,4.Not true,2.True,3.Neither,1.Very true,3.Neither,3.Neither,3.Neither,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,2.True,2.True,2.True,3.Neither,2.True,3.Neither,4.Not true,2.True,3.Neither,1.Very true,3.Neither,3.Neither,2.True,3.Neither,3.Neither,2.True,3.Neither,3.Neither,3.Neither,1.Very true,2.True,3.Neither,2.True,3.Neither,3.Neither,2.True,3.Neither,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,2.True,3.Neither,3.Neither,3.Neither,2.True,3.Neither,3.Neither
1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,1.Very true,1.Very true,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,1.Very true,1.Very true,1.Very true,2.True,2.True,1.Very true,2.True,1.Very true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",1.Very true,1.Very true,1.Very true,3.Neither,1.Very true,2.True,1.Very true,1.Very true,2.True
2.True,2.True,1.Very true,3.Neither,2.True,1.Very true,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,2.True,2.True,3.Neither,2.True,1.Very true,3.Neither,3.Neither,2.True,2.True,1.Very true,2.True,2.True,2.True,2.True,3.Neither,2.True,2.True,2.True,2.True,1.Very true,2.True,2.True,2.True,2.True,3.Neither,2.True,3.Neither,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,2.True,3.Neither,2.True,2.True,1.Very true,2.True,3.Neither
2.True,2.True,4.Not true,3.Neither,2.True,1.Very true,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,2.True,3.Neither,3.Neither,2.True,1.Very true,3.Neither,3.Neither,2.True,3.Neither,1.Very true,2.True,2.True,2.True,2.True,2.True,2.True,2.True,2.True,3.Neither,1.Very true,2.True,2.True,2.True,2.True,3.Neither,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,2.True,3.Neither,2.True,2.True,1.Very true,2.True,3.Neither
3.Neither,4.Not true,5.Not at all,3.Neither,4.Not true,1.Very true,4.Not true,3.Neither,4.Not true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,3.Neither,3.Neither,4.Not true,3.Neither,2.True,3.Neither,3.Neither,3.Neither,4.Not true,1.Very true,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,4.Not true,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,4.Not true,3.Neither,4.Not true,3.Neither,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,4.Not true,2.True,3.Neither,3.Neither
2.True,2.True,4.Not true,2.True,3.Neither,1.Very true,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,3.Neither,3.Neither,2.True,2.True,2.True,3.Neither,3.Neither,2.True,3.Neither,1.Very true,3.Neither,3.Neither,3.Neither,3.Neither,3.Neither,2.True,2.True,2.True,2.True,2.True,2.True,2.True,3.Neither,2.True,2.True,2.True,3.Neither,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,2.True,3.Neither,2.True,4.Not true,2.True,2.True,3.Neither
2.True,2.True,4.Not true,3.Neither,1.Very true,1.Very true,2.True,2.True,1.Very true,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",1.Very true,1.Very true,2.True,1.Very true,2.True,1.Very true,2.True,2.True,1.Very true,2.True,2.True,2.True,2.True,2.True,2.True,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,1.Very true,2.True,2.True,2.True,2.True,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,2.True
2.True,2.True,4.Not true,3.Neither,1.Very true,1.Very true,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,1.Very true,2.True,2.True,2.True,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,2.True,3.Neither,2.True,2.True,2.True,2.True,1.Very true,2.True,1.Very true,1.Very true,2.True,2.True,2.True,2.True,3.Neither,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,1.Very true,2.True,3.Neither,1.Very true,2.True,1.Very true,1.Very true,2.True
3.Neither,4.Not true,4.Not true,3.Neither,2.True,1.Very true,3.Neither,2.True,3.Neither,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",2.True,2.True,2.True,2.True,3.Neither,1.Very true,2.True,4.Not true,2.True,3.Neither,2.True,3.Neither,3.Neither,3.Neither,4.Not true,2.True,2.True,2.True,3.Neither,2.True,1.Very true,2.True,3.Neither,3.Neither,2.True,3.Neither,2.True,2.True,2.True,"1.Very true', '2.True', '3.Neither', '4.Not true', '5.Not at all",3.Neither,2.True,2.True,3.Neither,2.True,2.True,2.True,2.True,3.Neither
Disagree,Relatively agree,Neither,Agree,Neither,Disagree,Agree,Disagree,Disagree,Neither,Relatively disagree,Agree,Relatively disagree,Neither,Disagree,Disagree,Neither,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither,Disagree,Do not know,Relatively disagree,Relatively disagree,Agree,Disagree,Relatively disagree,Disagree,Disagree,Disagree,Disagree,Relatively disagree,Relatively disagree,Relatively disagree,Disagree,Disagree,Disagree,Neither,Relatively disagree,Relatively disagree,Agree,Disagree,Neither
Agree,Relatively agree,Neither,Agree,Relatively agree,Agree,Agree,Agree,Relatively agree,Neither,Relatively disagree,Agree,Relatively agree,Neither,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Relatively agree,Agree,Agree,Agree,Relatively agree,Agree,Neither,Relatively agree,Relatively agree,Agree,Agree,Relatively agree,Relatively agree,Agree,Agree,Relatively agree,Disagree,Agree,Relatively agree,Agree,Agree,Agree,Neither,Relatively agree,Neither,Agree,Relatively agree,Neither
Neither,Relatively disagree,Neither,Agree,Relatively agree,Relatively disagree,Agree,Agree,Relatively agree,Neither,Neither,Neither,Neither,Agree,Relatively agree,Agree,Relatively disagree,Relatively agree,Agree,Agree,Agree,Relatively agree,Relatively agree,Agree,Relatively agree,Neither,Agree,Neither,Relatively agree,Relatively agree,Agree,Relatively agree,Relatively agree,Relatively agree,Neither,Relatively agree,Relatively agree,Neither,Agree,Relatively agree,Relatively agree,Agree,Agree,Neither,Disagree,Relatively disagree,Agree,Relatively agree,Neither
Agree,Disagree,Disagree strongly,Agree,Disagree strongly,Agree,Disagree strongly,Disagree,Disagree,Disagree,Agree,Agree strongly,Agree,Disagree,Disagree strongly,Agree,Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree strongly,Agree,Disagree,Agree,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree,Agree,Agree,Disagree strongly,Disagree,Disagree strongly
Disagree strongly,Disagree,Disagree strongly,Agree,Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Agree,Disagree,Disagree strongly,Disagree strongly,Agree strongly,Agree,Disagree strongly,Disagree strongly,Disagree,Disagree strongly,Disagree strongly,Agree strongly,Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Agree,Disagree strongly,Disagree strongly,Disagree strongly,Agree,Agree,Disagree strongly,Disagree,Disagree strongly,Disagree strongly,Agree,Disagree strongly,Disagree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Disagree,Disagree strongly,Disagree,Disagree,Disagree strongly,Disagree
Disagree strongly,Agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree strongly,Disagree,Agree strongly,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree strongly,Agree,Disagree strongly,Agree,Disagree,Disagree strongly,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree strongly,Agree,Agree strongly,Agree,Disagree
Disagree,Agree,Disagree strongly,Agree strongly,Disagree strongly,Agree,Agree,Agree,Agree,Agree strongly,Agree,Disagree strongly,Disagree,Disagree,Agree,Disagree,Disagree,Agree strongly,Disagree strongly,Disagree,Agree strongly,Agree strongly,Agree,Agree,Agree,Agree,Agree,Agree,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree strongly,Disagree strongly,Agree,Disagree,Disagree,Disagree strongly,Agree strongly,Agree,Agree strongly
Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree strongly,Disagree,Disagree,Agree strongly,Disagree,Agree strongly,Agree,Agree strongly,Disagree strongly,Agree,Disagree,Disagree strongly,Agree,Disagree,Agree strongly,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree strongly,Agree,Agree,Agree strongly,Disagree,Agree strongly,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree strongly,Agree,Agree,Disagree,Agree,Agree strongly,Agree,Disagree,Agree
Disagree strongly,Agree,Agree,Agree,Disagree,Agree,Agree strongly,Disagree strongly,Disagree,Disagree,Agree,Disagree strongly,Disagree,Disagree,Disagree,Disagree,Disagree,Agree strongly,Agree,Disagree,Agree strongly,Agree strongly,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree strongly,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree strongly
Agree strongly,Agree,Agree,Agree,Disagree strongly,Agree,Agree strongly,Agree,Agree,Disagree,Disagree,Agree strongly,Agree,Agree,Disagree strongly,Agree,Disagree,Disagree,Agree,Disagree,Agree strongly,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree strongly,Agree,Agree
Disagree,Disagree,Disagree,Agree strongly,Disagree strongly,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree strongly,Agree,Agree,Agree strongly,Disagree strongly,Disagree,Agree strongly,Disagree strongly,Agree,Agree,Agree,Agree,Disagree,Agree strongly,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree strongly,Agree,Disagree,Agree strongly,Agree,Agree,Agree,Disagree,Disagree,Disagree strongly,Disagree,Agree,Disagree strongly,Disagree,Disagree strongly,Disagree,Agree
Disagree,Disagree,Disagree,Disagree strongly,Disagree strongly,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree strongly,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree strongly,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree strongly,Agree,Agree,Agree,Disagree,Agree strongly,Disagree,Disagree strongly,Agree,Disagree
Agree,Agree,Disagree strongly,Agree strongly,Disagree strongly,Agree,Agree strongly,Agree,Disagree,Agree,Agree,Disagree strongly,Disagree,Agree,Agree strongly,Agree,Disagree,Agree strongly,Disagree,Disagree,Disagree,Agree strongly,Agree,Agree,Agree,Agree,Disagree,Agree,Agree strongly,Disagree,Disagree,Disagree strongly,Disagree,Disagree,Disagree,Agree,Agree strongly,Agree,Disagree strongly,Disagree,Agree,Disagree strongly,Disagree,Agree,Agree,Disagree strongly,Agree,Agree,Agree strongly
3-6 times per week,Every day,Never drink,3-6 times per week,Never drink,Few times per month,3-6 times per week,1-2 times per week,Few times per month,Every day,1-2 times per week,Never drink,Every day,1-2 times per week,Never drink,Every day,Every day,"I used to drink, but I quitted",Few times per month,Never drink,Never drink,1-2 times per week,1-2 times per week,Never drink,Never drink,Never drink,Every day,Never drink,Never drink,Every day,"I used to drink, but I quitted","I used to drink, but I quitted",Few times per month,3-6 times per week,Never drink,"I used to drink, but I quitted",Few times per month,Few times per month,3-6 times per week,Every day,3-6 times per week,Never drink,Every day,Never drink,Few times per month,Never drink,Never drink,Few times per month,1-2 times per week
Never smoked,Used to smoke but do not now,Every day,Every day,Never smoked,Never smoked,Used to smoke but do not now,Never smoked,Never smoked,Used to smoke but do not now,Never smoked,Never smoked,Every day,Used to smoke but do not now,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Used to smoke but do not now,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Never smoked,Every day,Never smoked,Never smoked,Never smoked,Never smoked,Sometimes,Every day,Every day,Used to smoke but do not now,Every day,Every day,Used to smoke but do not now,Every day,Never smoked,Used to smoke but do not now,Never smoked
8.0,9.0,9.0,9.0,5.0,3.0,8.0,10.0,5.0,6.0,5.0,6.0,10.0,4.0,8.0,9.0,8.0,5.0,8.0,9.0,7.0,5.0,7.0,9.0,7.0,5.0,10.0,5.0,5.0,9.0,10.0,6.0,4.0,9.0,8.0,4.0,6.0,3.0,9.0,4.0,6.0,7.0,6.0,8.0,4.0,10.0,6.0,9.0,6.0
Female,Female,Male,Female,Male,Female,Male,Female,Female,Female,Female,Male,Male,Male,Female,Female,Female,Female,Male,Female,Male,Female,Female,Female,Female,Female,Male,Male,Female,Female,Female,Female,Female,Male,Female,Female,Male,Female,Female,Male,Female,Male,Male,Male,Male,Male,Female,Female,Male
Not married,Not married,Married,Married,Married,Married,Not married,Not married,Married,Married,Married,Married,Not married,Not married,Married,Married,Not married,Not married,Not married,Married,Married,Not married,Not married,Not married,Married,Not married,Not married,Married,Married,Married,Not married,Not married,Married,Married,Not married,Not married,Married,Married,Not married,Married,Not married,Not married,Married,Not married,Married,Not married,Not married,Married,Married
Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
Regular employee,Non-regular employee,Self-employed and others,Non-regular employee,Not working,Non-regular employee,Regular employee,Not working,Non-regular employee,Non-regular employee,Regular employee,Regular employee,Regular employee,Regular employee,Non-regular employee,Non-regular employee,Regular employee,Regular employee,Regular employee,Regular employee,Non-regular employee,Non-regular employee,Non-regular employee,Non-regular employee,Regular employee,Non-regular employee,Regular employee,Regular employee,Non-regular employee,Regular employee,Not working,Regular employee,Regular employee,Regular employee,Non-regular employee,Regular employee,Regular employee,Regular employee,Non-regular employee,Regular employee,Not working,Regular employee,Regular employee,Regular employee,Regular employee,Regular employee,Non-regular employee,Regular employee,Non-regular employee
"12,000-14,999K JPY",Unanswered,"2,000-3,999K JPY","Less than 2,000K JPY",Unanswered,Do not know,"6,000-6,999K JPY","Less than 2,000K JPY",Do not know,Unanswered,"Less than 2,000K JPY","4,000-5,999K JPY","15,000-19,999K JPY","4,000-5,999K JPY","2,000-3,999K JPY","12,000-14,999K JPY",Do not know,Unanswered,"6,000-6,999K JPY","2,000-3,999K JPY",Unanswered,"4,000-5,999K JPY",Unanswered,Unanswered,"2,000-3,999K JPY","4,000-5,999K JPY","10,000-11,999K JPY","4,000-5,999K JPY",Unanswered,Unanswered,Do not know,"12,000-14,999K JPY",Unanswered,"6,000-6,999K JPY","6,000-6,999K JPY",Unanswered,"8,000-8,999K JPY","Less than 2,000K JPY","4,000-5,999K JPY","8,000-8,999K JPY",Unanswered,"4,000-5,999K JPY",Do not know,"8,000-8,999K JPY","2,000-3,999K JPY",Unanswered,"6,000-6,999K JPY",Do not know,Do not know
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0
1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
